district_clean,first_sez_year,n_sezs_with_year
Chengalpattu,2006,11
Chennai,2006,4
Coimbatore,2006,4
Erode,2008,2
Kancheepuram,2006,7
Krishnagiri,2009,3
Madurai,2008,2
Ranipet,2007,1
Salem,2008,1
Thoothukudi,2009,1
Tiruchirappalli,2008,1
Tirunelveli,2008,3
Tiruvallur,2009,4
Tiruvannamalai,2007,1
Villupuram,2022,1
