country,state,spatial_unit,district_clean,district_lat,district_lon,crs,zone_indicator,num_sezs,distance_to_chennai_km,coastal_district,population_density_per_sq_km,population_density_year,population_density_source,distance_method,pc11_state_id,pc11_district_id,pc11_district_name,district_crosswalk_note,nightlights_year,nightlights_category,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells
India,Tamil Nadu,District,Ramanathapuram,9.3639,78.8395,WGS84 / EPSG:4326,0,0,442,1,320,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,626,Ramanathapuram,Direct 2011 district match,2021,average-masked,0.5159079035452863,10047.636780520834,19475.6403448641
India,Tamil Nadu,District,Ranipet,12.9249,79.3333,WGS84 / EPSG:4326,1,1,103.1,0,520,2011,Approximate/harmonized from former Vellore district area,Haversine distance between approximate district centroid and Chennai,33,605,Vellore,Newer district; mapped to parent 2011 district Vellore,2021,average-masked,1.199306162153267,35383.30683755383,29503.14769835392
India,Tamil Nadu,District,Salem,11.6643,78.146,WGS84 / EPSG:4326,1,1,279.5,0,663,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,608,Salem,Direct 2011 district match,2021,average-masked,1.5177007809293122,38137.27460912829,25128.322452187334
India,Tamil Nadu,District,Sivaganga,9.847,78.4836,WGS84 / EPSG:4326,0,0,409.1,0,324,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,622,Sivaganga,Direct 2011 district match,2021,average-masked,0.5605288648384701,11209.728191197282,19998.485170656888
India,Tamil Nadu,District,Tenkasi,8.959,77.3152,WGS84 / EPSG:4326,0,0,560.6,0,410,2011,Approximate/harmonized from former Tirunelveli district area,Haversine distance between approximate district centroid and Chennai,33,628,Tirunelveli,Newer district; mapped to parent 2011 district Tirunelveli,2021,average-masked,0.9109271700699868,28767.45397211757,31580.410506261836
India,Tamil Nadu,District,Thanjavur,10.787,79.1378,WGS84 / EPSG:4326,0,0,283.5,0,691,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,620,Thanjavur,Direct 2011 district match,2021,average-masked,1.3152605883253174,21488.330268495007,16337.697988697026
India,Tamil Nadu,District,Theni,10.0104,77.4768,WGS84 / EPSG:4326,0,0,457.5,0,433,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,624,Theni,Direct 2011 district match,2021,average-masked,0.5027362658906557,6560.491458294605,13049.568736943878
India,Tamil Nadu,District,Thoothukudi,8.7642,78.1348,WGS84 / EPSG:4326,1,1,533.8,1,378,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,627,Thoothukkudi,Direct 2011 district match,2021,average-masked,0.9751318833655216,21725.16459330472,22279.20649904664
India,Tamil Nadu,District,Tiruchirappalli,10.7905,78.7047,WGS84 / EPSG:4326,1,1,306.6,0,602,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,614,Tiruchirappalli,Direct 2011 district match,2021,average-masked,1.3321679890862408,27809.832605575742,20875.61991686276
India,Tamil Nadu,District,Tirunelveli,8.7139,77.7567,WGS84 / EPSG:4326,1,3,557.9,0,460,2011,Census 2011 / former district-level population density,Haversine distance between approximate district centroid and Chennai,33,628,Tirunelveli,Direct/parent 2011 district match,2021,average-masked,0.9109271700699868,28767.45397211757,31580.410506261836
India,Tamil Nadu,District,Tirupathur,12.4984,78.5602,WGS84 / EPSG:4326,0,0,196.5,0,420,2011,Approximate/harmonized from former Vellore district area,Haversine distance between approximate district centroid and Chennai,33,605,Vellore,Newer district; mapped to parent 2011 district Vellore,2021,average-masked,1.199306162153267,35383.30683755383,29503.14769835392
India,Tamil Nadu,District,Tiruppur,11.1085,77.3411,WGS84 / EPSG:4326,0,0,386.8,0,478,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,633,Tiruppur,Direct 2011 district match,2021,average-masked,1.340168897569478,32969.38256013729,24600.916063587472
India,Tamil Nadu,District,Tiruvallur,13.1394,79.9078,WGS84 / EPSG:4326,1,4,39.8,1,1098,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,602,Thiruvallur,Direct 2011 district match; spelling standardized,2021,average-masked,4.416092596975115,75569.63353549757,17112.329933312634
India,Tamil Nadu,District,Tiruvannamalai,12.2253,79.074700000000007,WGS84 / EPSG:4326,1,1,161,0,399,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,606,Tiruvannamalai,Direct 2011 district match,2021,average-masked,0.7575786307937052,22428.250298199557,29605.178111613008
India,Tamil Nadu,District,Tiruvarur,10.7661,79.6344,WGS84 / EPSG:4326,0,0,266.7,1,533,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,619,Thiruvarur,Direct 2011 district match,2021,average-masked,1.026183554204305,11024.007053471256,10742.7243481983
India,Tamil Nadu,District,Vellore,12.9165,79.1325,WGS84 / EPSG:4326,0,0,124.7,0,648,2011,Census 2011 / former district-level population density,Haversine distance between approximate district centroid and Chennai,33,605,Vellore,Direct/parent 2011 district match,2021,average-masked,1.199306162153267,35383.30683755383,29503.14769835392
India,Tamil Nadu,District,Viluppuram,11.9401,79.4861,WGS84 / EPSG:4326,0,0,153,1,482,2011,Census 2011 / former district-level population density,Haversine distance between approximate district centroid and Chennai,33,607,Viluppuram,Direct/parent 2011 district match,2021,average-masked,0.9032830680647655,31042.253783346223,34366.030849944465
India,Tamil Nadu,District,Virudhunagar,9.568,77.9624,WGS84 / EPSG:4326,0,0,464.8,0,454,2011,Census 2011 / district-level population density,Haversine distance between approximate district centroid and Chennai,33,625,Virudhunagar,Direct 2011 district match,2021,average-masked,0.86626170863498,17762.74569846959,20505.05698382929
