pc11_state_id,pc11_district_id,nightlights_year,nightlights_category,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells
33,602,2021,average-masked,4.416092596975115,75569.63353549757,17112.329933312634
33,603,2021,average-masked,28.569436832545687,24372.909137771025,853.1112909445219
33,604,2021,average-masked,3.1311785324844283,64529.98011637098,20608.847258916845
33,605,2021,average-masked,1.199306162153267,35383.30683755383,29503.14769835392
33,606,2021,average-masked,0.7575786307937052,22428.250298199557,29605.178111613008
33,607,2021,average-masked,0.9032830680647655,31042.253783346223,34366.030849944465
33,608,2021,average-masked,1.5177007809293122,38137.27460912829,25128.322452187334
33,609,2021,average-masked,1.2199222582984903,20092.960269571995,16470.68912210605
33,610,2021,average-masked,0.8191196993772876,22570.250853887428,27554.276708331905
33,611,2021,average-masked,0.3493885581508034,4280.980912496556,12252.77935589635
33,612,2021,average-masked,0.6862153956885195,20166.26556493967,29387.66120906642
33,613,2021,average-masked,0.9707443981293072,13291.929539763163,13692.51222605832
33,614,2021,average-masked,1.3321679890862408,27809.832605575742,20875.61991686276
33,615,2021,average-masked,0.8876281632229305,7324.079398810029,8251.292266591325
33,616,2021,average-masked,1.126005399209281,10424.321323818896,9257.789821557875
33,617,2021,average-masked,1.497152555495761,26077.30921284516,17417.937214962054
33,618,2021,average-masked,1.217203118857043,14772.08678134157,12136.090150025742
33,619,2021,average-masked,1.026183554204305,11024.007053471256,10742.7243481983
33,620,2021,average-masked,1.3152605883253174,21488.330268495007,16337.697988697026
33,621,2021,average-masked,0.7425690917649711,16878.29565742621,22729.59626869081
33,622,2021,average-masked,0.5605288648384701,11209.728191197282,19998.485170656888
33,623,2021,average-masked,1.3029749914884707,23016.90228933121,17664.88416100569
33,624,2021,average-masked,0.5027362658906557,6560.491458294605,13049.568736943878
33,625,2021,average-masked,0.86626170863498,17762.74569846959,20505.05698382929
33,626,2021,average-masked,0.5159079035452863,10047.636780520834,19475.6403448641
33,627,2021,average-masked,0.9751318833655216,21725.16459330472,22279.20649904664
33,628,2021,average-masked,0.9109271700699868,28767.45397211757,31580.410506261836
33,629,2021,average-masked,1.418466875469429,11429.93864881915,8057.952460142233
33,630,2021,average-masked,0.6463181506907818,13730.716053966586,21244.51562947948
33,631,2021,average-masked,1.0724262551417736,26414.97906736713,24631.044736847754
33,632,2021,average-masked,1.9306994271667757,43295.72556376865,22424.89170222804
33,633,2021,average-masked,1.340168897569478,32969.38256013729,24600.916063587472
