district_type,n_districts,total_sezs,mean_distance_to_chennai_km,mean_population_density_per_sq_km,mean_viirs_nightlights,share_coastal
District with at least one SEZ,15,49,245,2353.7,3.465,0.333
District without SEZ,23,0,332.4,489.9,0.97,0.261
